Nome,"Tipo Variação",Variante,Categoria,Marca,Referência,"Código de Barras",Descrição,"Descrição na Fatura",PVP,"Preço Fornecedor",Unidade,"Controlar Stock","IVA - Taxa","IVA - Isenção (Código)","IVA - Isenção (Norma)","Tipo de Produto","Classe de Bem","Loja principal","Stock - Loja principal","Margem de Lucro (%)- Normal",Imagem
"Combinado Vegan (20 pçs)",,,Delivery,,VCOM192-24040321,,,Não,"12,7500","0,0000",Uni,Sim,13,,,P,,S,"-140,0000",100,https://www.vendus.pt/foto/4182034585e2355c901f82ff90e4c5f6.png
"Combinado Vegetariano do Chef (28 pçs)",,,Delivery,,VCOM193-24040348,,,Não,"18,2500","0,0000",Uni,Sim,13,,,P,,S,"-7,0000",100,https://www.vendus.pt/foto/b7db1d6640e04bf7c64f175830758114.jpeg
"Vinho 75cl ",,,Delivery,,VVIN194-24040364,,,Não,"11,0000","0,0000",Uni,Sim,23,,,P,,S,"-8,0000",100,
"Pinças de caranguejo panados (5 un)",,,Delivery,,VPIN195-2404037,,,Não,"5,5000","0,0000",Uni,Sim,13,,,P,,S,"-161,0000",100,https://www.vendus.pt/foto/913fa02d9bcf480159e41032361c0582.jpg
"Mini rolos primavera vegetais (6 uni)",,,Delivery,,VMIN196-24040353,,,Não,"5,5000","0,0000",Uni,Sim,13,,,P,,S,"-88,0000",100,https://www.vendus.pt/foto/d5091a0e38cfeeec144848d9dcf138f5.jpg
"Panado Chili com queijo (5 uni)",,,Delivery,,VPAN197-24040336,,,Não,"6,0000","0,0000",Uni,Sim,13,,,P,,S,"-22,0000",100,https://www.vendus.pt/foto/47bbe784ce1268c0dc18279f6f78df0f.jpeg
"Somersby Apple 33cl ",,,Delivery,,VSOM198-24040342,,,Não,"3,5000","0,0000",Uni,Sim,23,,,P,,S,"-81,0000",100,https://www.vendus.pt/foto/311bb9ffa8173581f63057b6acb38fa2.png
"Vinho Verde Gazela 750ml ",,,Delivery,,VVIN199-24040394,,,Não,"11,0000","0,0000",Uni,Sim,23,,,P,,S,"-20,0000",100,https://www.vendus.pt/foto/e996ad39c85bbaf6e08a541865a8df69.jpg
"Hot Filadélfia Carrot (16 pçs)",,,Delivery,,VHOT200-24040369,,,Não,"10,0000","0,0000",Uni,Sim,13,,,P,,S,"-137,0000",100,https://www.vendus.pt/foto/5561537e816cfd7c4e83c4df2c6fdead.png
"Hot Filadélfia de Salmão (8 pçs) ",,,Delivery,,VHOT201-24040331,,,Não,"11,0000","0,0000",Uni,Sim,13,,,P,,S,"-526,0000",100,https://www.vendus.pt/foto/3b901446ac152324b612a91c168708a5.png
"Hot Filadélfia de Camarão (8 pçs)",,,Delivery,,VHOT202-24040397,,,Não,"10,0000","0,0000",Uni,Sim,13,,,P,,S,"-117,0000",100,https://www.vendus.pt/foto/0399e41e50af17dba3df8a1e41d82e0c.png
"Combinado Vegetariano (20 pçs)",,,Delivery,,VCOM203-24040319,,,Não,"12,7500","0,0000",Uni,Sim,13,,,P,,S,"-176,0000",100,https://www.vendus.pt/foto/fbcc91c6d15b7d6fdab618d3978df8bf.png
"Hot Filadélfia de Salmão (16 Pçs)",,,Delivery,,VHOT204-24040388,,,Não,"14,0000","0,0000",Uni,Sim,13,,,P,,S,"-596,0000",100,https://www.vendus.pt/foto/dad776e403193ce07bc6732ca3027a9b.jpeg
"Hossomaki de salmão (8 pçs)",,,Delivery,,VHOS205-24040328,,,Não,"6,0000","0,0000",Uni,Sim,13,,,P,,S,"-910,0000",100,https://www.vendus.pt/foto/e9e1eff100a43b5c79f26b59169fc69d.png
"Uramaki Califórnia de Salmão (8 pçs)",,,Delivery,,VURA206-24040372,,,Não,"8,0000","0,0000",Uni,Sim,13,,,P,,S,"-86,0000",100,https://www.vendus.pt/foto/f7520a59e407171ad0851cee37140a38.png
"Uramaki camarão Filadélfia (8 pçs)",,,Delivery,,VURA207-24040377,,,Não,"8,0000","0,0000",Uni,Sim,13,,,P,,S,"-67,0000",100,https://www.vendus.pt/foto/23371ea81953e6f9df08a16bcbd94706.png
"Uramaki Filadélfia de camarão panado supremo (8 pçs)",,,Delivery,,VURA208-24040397,,,Não,"9,5000","0,0000",Uni,Sim,13,,,P,,S,"-102,0000",100,https://www.vendus.pt/foto/c8cc2e60c9646a2754d68253f0971909.jpeg
"Uramaki Filadélfia de salmão (8 pçs)",,,Delivery,,VURA209-24040320,,,Não,"8,0000","0,0000",Uni,Sim,13,,,P,,S,"-207,0000",100,https://www.vendus.pt/foto/2fefc022dc38b499fd5e14df26813184.png
"Sashimi de Salmão (10pçs)",,,Delivery,,VSAS210-24040390,,,Não,"12,5000","0,0000",Uni,Sim,13,,,P,,S,"-117,0000",100,https://www.vendus.pt/foto/160f1354160b0a114eb90613d6e44caf.jpeg
"Uramaki de Salmão (8 pçs)",,,Delivery,,VURA211-24040321,,,Não,"8,0000","0,0000",Uni,Sim,13,,,P,,S,"-23,0000",100,https://www.vendus.pt/foto/0219759b6f08ec04768d9c0c67ee5f7b.jpg
"Hot Veg. (8 pçs)",,,Delivery,,VHOT212-24040388,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-102,0000",100,https://www.vendus.pt/foto/a5ae98c7d30b1fa47117dd1e7e37f9a5.png
"Uramaki Salmão e Camarão (8 pçs)",,,Delivery,,VURA213-24040314,,,Não,"8,0000","0,0000",Uni,Sim,13,,,P,,S,"-38,0000",100,https://www.vendus.pt/foto/b2d9bb3ec1c15e1f372fb3ef11bf54b9.jpeg
"Hot de Salmão (24 pçs) + (C)",,,Delivery,,VHOT214-24040359,,,Não,"16,0000","0,0000",Uni,Sim,13,,,P,,S,"-1627,0000",100,https://www.vendus.pt/foto/4beef1050b69c02bc90d83b683088fdb.png
"Hot Filadélfia Camarão e Salmão (16pçs)",,,Delivery,,VHOT215-24040346,,,Não,"14,0000","0,0000",Uni,Sim,13,,,P,,S,"-160,0000",100,https://www.vendus.pt/foto/08ab731caaf82d550ca2c8b37988f661.jpeg
"Hot Filadélfia de Camarão  (16pçs)",,,Delivery,,VHOT216-24040327,,,Não,"13,0000","0,0000",Uni,Sim,13,,,P,,S,"-82,0000",100,https://www.vendus.pt/foto/cab45e76ca2bdf018ea5580bfbe95d70.jpeg
"Hot Filadélfia Carrot (8 pçs)",,,Delivery,,VHOT217-24040392,,,Não,"7,0000","0,0000",Uni,Sim,13,,,P,,S,"-56,0000",100,https://www.vendus.pt/foto/620baa248322940da82b39daa4771272.png
"Hot especial (16 pçs)",,,Delivery,,VHOT218-24040356,,,Não,"14,0000","0,0000",Uni,Sim,13,,,P,,S,"-795,0000",100,https://www.vendus.pt/foto/76655f4a6c87b66234ff88a1ba2f45bf.jpeg
"Niguiri de Salmão (10 pçs)",,,Delivery,,VNIG219-24040383,,,Não,"13,0000","0,0000",Uni,Sim,13,,,P,,S,"-111,0000",100,https://www.vendus.pt/foto/67261af8a941bd3a2b8a05dcaf17c36a.jpeg
"Guaraná Antartica 33cl",,,Delivery,,VGUA220-24040324,,,Não,"3,0000","0,0000",Uni,Sim,13,,,P,,S,"-273,0000",100,https://www.vendus.pt/foto/2730098b1838bfcd376af7ebd4e86626.jpg
